group,n_states,span_days,bursts_6h,bursts_12h,bursts_24h,bursts_48h,bursts_72h
1556,4,0.125,1,1,1,1,1
158,4,0.125,1,1,1,1,1
1493,4,0.125,1,1,1,1,1
172,4,0.16666666666666666,1,1,1,1,1
371,4,0.25,1,1,1,1,1
885,4,0.125,1,1,1,1,1
1553,4,0.125,1,1,1,1,1
796,4,0.125,1,1,1,1,1
868,4,0.125,1,1,1,1,1
844,4,0.125,1,1,1,1,1
854,4,0.2916666666666667,1,1,1,1,1
855,4,0.125,1,1,1,1,1
1475,4,0.125,1,1,1,1,1
1471,4,0.125,1,1,1,1,1
164,4,0.125,1,1,1,1,1
947,4,0.125,1,1,1,1,1
912,4,0.125,1,1,1,1,1
367,4,0.125,1,1,1,1,1
1465,4,0.125,1,1,1,1,1
975,4,0.25,1,1,1,1,1
980,4,0.125,1,1,1,1,1
961,4,0.125,1,1,1,1,1
343,4,0.125,1,1,1,1,1
1403,4,0.16666666666666666,1,1,1,1,1
632,4,0.16666666666666666,1,1,1,1,1
654,4,0.16666666666666666,1,1,1,1,1
405,4,0.5,2,1,1,1,1
52,4,0.125,1,1,1,1,1
672,4,0.125,1,1,1,1,1
1537,4,0.125,1,1,1,1,1
812,4,0.125,1,1,1,1,1
1521,4,0.125,1,1,1,1,1
720,4,0.125,1,1,1,1,1
832,4,0.125,1,1,1,1,1
418,4,0.125,1,1,1,1,1
1559,4,0.125,1,1,1,1,1
